"ProvincialSeedlotsID","ExperimentalClimate","HtFinalS01_mm","HeightFinalS02_mm","FinalStemDiamS02_mm","MaxGthRate_mm_Day","FinalShootWeightS02_g","FinalRootWeightS02_g","TotalWeight","RootShoot_Ratio","BudSet","BudBreakS02_day","LinearGthS02_Days","Gth5pctS02_Day","Gth95pctS02_Day","Gth5.95pctS02_Days","ColdInjuryFallS02_Mean","ColdInjuryMidWinterS02_Mean","ColdInjurySpringS02_Mean","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","log(MAP)","log(MSP)","AHM","SHM","DD0","DD5","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"BC_TSC_48428","MAT06",34.0358118336405,114.669665064868,2.56411770792656,2.88063603219177,2.51706317038946,0.987210415166371,3.5073220656112,0.389779270603208,158.717107269972,44.416608306885,4.51484831474738,130.021796341268,171.991908693684,42.4021500596967,47.7791855496115,42.0364499568674,62.2520489561984,55.5,-123.79,1320,0.3,11.9,-11.1,22.9,6.5191472879404,5.74620319054015,15.2,37.9,1427,699,131,168,245,77,320,-42.2,29.3,424,112
"BC_TSC_48481","MAT06",39.3488475952989,114.338284531676,2.72969843695348,1.93540250240155,2.65805738484735,1.12393395546222,3.78714485838083,0.366974811863924,154.418256426478,41.8080746250529,5.98587344943248,125.22143095085,180.869173573229,55.8704125991445,70.5228405853303,56.845542553825,75.8020957978381,49.58,-120.38,1000,4.7,15.2,-5.9,21.1,6.22653666928747,5.2257466737132,29,81.7,697,1299,171,151,261,110,190,-35.2,34.9,635,361
"BC_TSC_48504","MAT06",41.6941352384261,102.001330619813,2.66043261804439,1.79570874219723,2.04191163695947,0.8503109247801,2.89375069991826,0.411856311845089,146.692143449766,46.2739687322615,5.51853554866754,128.576649171703,177.354006152846,48.1679570271608,54.4344658029758,51.8168638828684,53.9567045341282,50.85,-120.4,1120,4.1,15.2,-7.4,22.7,6.05443934626937,5.33271879326537,33,73.8,842,1252,163,153,256,103,139,-37.5,34.7,588,326
"BC_TSC_48541","MAT06",33.560423887093,106.331994389352,3.02591959981663,2.19343565614653,2.98275119040282,1.0411589471597,4.02251461790253,0.354550655209019,150.310927679108,46.0994321970296,5.17249231815009,129.77915811068,177.032489460376,47.1323586701854,32.8325911928196,44.5488689336257,50.4177671363025,56.22,-122.1,830,1.4,14.4,-12.9,27.3,6.29894924685594,5.79909265446053,20.9,43.6,1498,1080,148,153,252,99,175,-43.5,31.9,497,132
"BC_TSC_52014","MAT06",41.8515525659396,127.502384428775,3.70168177233166,3.00984086934935,4.85515330230552,1.41302632353189,6.27070182848609,0.279940248270955,153.041790764388,46.0119456979139,4.25005047241122,134.449320188742,175.549528316104,41.0018941821437,32.4663031818338,53.8514350468769,50.0948045470318,53.1,-122.77,810,3.4,14.6,-9.3,23.9,6.25190388316589,5.6021188208797,25.9,53.9,979,1183,157,155,254,99,170,-40.4,33.5,557,236
"BC_TSC_52110","MAT06",41.1601219235409,122.999341219862,3.78021908980003,1.95185549194859,5.23132490820752,2.10701139312428,7.33746706850098,0.379447260511768,155.986259561775,47.0252155232443,6.27696115627478,122.888073298363,182.637886061303,60.4658725702071,42.7912465126225,37.7686602089238,53.7345199834111,52.85,-122.62,890,3.4,14.5,-9,23.4,6.30991827822652,5.64897423816121,24.3,51,970,1160,153,159,252,93,181,-40.5,33.6,562,225
"BC_TSC_52193","MAT06",37.0264703647778,114.660931351744,3.173231555052,1.87723339522057,3.82001861266278,1.54649427257886,5.36049796079352,0.416611205926063,149.901898638188,44.8827230176751,6.61359100928664,122.808082595484,185.179801348128,62.1956496375881,49.2912920967797,41.965013166286,72.5042112990459,53.96,-124.61,750,3.1,14.3,-9.7,24,6.36475075685191,5.605802066296,22.6,52.6,1038,1135,158,155,256,101,223,-40.2,33.1,529,211
"BC_TSC_52211","MAT06",31.3428314726747,96.3306993241049,2.68478122333584,2.28284058356363,1.96483594362362,0.914917304280895,2.87689590497867,0.438717894719238,155.953662353362,47.2581696930932,5.25993996703115,131.348942667931,174.706207514815,43.664514305179,53.35245099229,39.1024039448555,63.7773368334882,50.95,-122.3,1000,3.7,14.2,-7.1,21.3,6.18414889093748,5.22035582507832,28.2,76.5,832,1117,155,166,260,94,196,-37.4,33.1,563,323
"BC_TSC_52218","MAT06",32.301042109524,93.9970320623028,2.56228302499842,1.55550309598935,2.01349963924807,0.566388697425075,2.57656322175996,0.279901541209357,150.946022814323,45.6919818173348,8.04336314555195,120.320383593,187.367225019827,67.8640458636991,52.9333993711165,57.9751565419965,73.2516947304586,56.08,-124.32,750,2.2,14.7,-11.1,25.7,6.2363695902037,5.4249500174814,23.8,64.6,1284,1112,153,156,254,98,215,-41.9,32.3,502,232
"BC_TSC_52219","MAT06",31.3195407878302,94.9949244443796,2.56978471642389,2.23990550835178,1.88368297522263,1.11095789992149,2.98932763129095,0.598864695725511,153.915332415254,47.5493612193634,4.71366663139792,132.408374892254,173.842847359978,41.2295048870665,78.2030579467338,50.9060142139796,73.6421613713182,49.48,-119.32,1400,3,14.1,-7.3,21.4,6.52356230614951,5.63121178182137,19.1,50.5,924,1023,152,158,255,97,303,-37,32.7,543,195
